,ClusterId,W_mean,H_mean,n_boats,Images
3,3,18.5,26.0,2,dac54e322.jpg 44121e9df.jpg 992063b98.jpg 0002756f7.jpg 51963e563.jpg d177850d9.jpg f823d6e56.jpg 03b25afe0.jpg 2251c909f.jpg
4,4,28.0,29.0,1,a6f4088f8.jpg 46e210ec2.jpg db5961f51.jpg f216d616c.jpg f34b21c70.jpg ce0f3a682.jpg 00031f145.jpg 580f12152.jpg 4351227f6.jpg
5,5,40.0,23.6,5,a1bf2fd9a.jpg 28fe86ffa.jpg 0f5d259e6.jpg 788ff6a80.jpg 90f966656.jpg 360c5dd8f.jpg 63aa24a43.jpg d3cbad70b.jpg 0005d6d95.jpg 665084601.jpg 012735107.jpg 68954e545.jpg 5c0292837.jpg 0cc08f1f5.jpg 0bbe34181.jpg ebf7bdeda.jpg 7f87708a0.jpg ccef693c2.jpg fa80202b2.jpg c8ea8ee58.jpg d121706ec.jpg ba69b2bbc.jpg 0249b30e0.jpg 24b3b5b44.jpg 9868fff3b.jpg 7eede29c4.jpg a5de35c6b.jpg 3c225c35d.jpg aa8dcd030.jpg d38269c8b.jpg 3cd67dce1.jpg 8002c313a.jpg f2768b569.jpg 222c2c38c.jpg d9e7f555f.jpg fdbe68f70.jpg
6,6,204.0,245.5,2,d01c1cdb6.jpg a7d00e851.jpg 0006c52e8.jpg 1b0c82aa5.jpg 3542711e6.jpg 999ce5d33.jpg
7,7,7.0,5.0,1,41eda7713.jpg c05ae472c.jpg ffe1d7e9a.jpg b9a97e82e.jpg 000d42241.jpg c2357071b.jpg e91e9929a.jpg e985770b7.jpg 7d7cc35d7.jpg
8,8,27.5,23.5,2,000e6378b.jpg 080fc5847.jpg 54d7538ad.jpg 52ec0395f.jpg 99f316ad4.jpg d7ec71208.jpg 134499171.jpg 3a67f102d.jpg a5e35bf50.jpg fbdd42190.jpg b13bc0ce6.jpg 29abf9830.jpg e598de6b5.jpg e63aeef21.jpg 77bfdf350.jpg 69cdc61a6.jpg e8576403f.jpg a61d0d6ee.jpg 82e093a32.jpg 2cc51b382.jpg 1882919a4.jpg fa30bfdb5.jpg
9,9,15.0,17.0,1,eb4dd23d9.jpg 192bf1f43.jpg 66ea99116.jpg e11cbfb34.jpg a010514a9.jpg 000fd9827.jpg 750d472b7.jpg e220af7e4.jpg b6d2e8756.jpg
10,10,40.74757281553398,33.310679611650485,103,a901bad53.jpg 858aeadcb.jpg 1f16e4173.jpg fd00caf61.jpg 5ac7eb088.jpg 664c248e9.jpg ea19eab1b.jpg f653f370d.jpg b64d4bf3c.jpg 00113a75c.jpg 56ad8f0af.jpg 935dc143c.jpg 74bedb63a.jpg dd6e47940.jpg 0f481bcff.jpg 0774868a7.jpg 53c41dcb0.jpg 31d255b99.jpg e5f54455d.jpg 3729ed4dc.jpg ef81c06d0.jpg e29ebb050.jpg e6033702b.jpg 10c100962.jpg cd0974463.jpg 02fa0399a.jpg c9ac4fbde.jpg c2a08140a.jpg d77db3d08.jpg b41324c4a.jpg 5b367225b.jpg accb056a8.jpg ae1406fc8.jpg f4075b20b.jpg 901ae05d5.jpg 583ef27e6.jpg afeb1d028.jpg 67af993b5.jpg 26ac40d6b.jpg 6f995a81e.jpg 9fc48cb44.jpg 042f26302.jpg 0152a6885.jpg 9a6782fc4.jpg e3d3576e6.jpg 9bf7a0329.jpg 6931d1dfe.jpg d20dcfce6.jpg fd4bb63bf.jpg 178f2e73a.jpg dbacc93b0.jpg 22c456bfa.jpg f975af9c7.jpg 4ac3b2cae.jpg 402587907.jpg f169a1d4d.jpg 047defb9c.jpg f423fe8d0.jpg 19bedd653.jpg 40a063a6b.jpg 2311cbbc1.jpg 9102f4458.jpg 74895fc2e.jpg 87f6db9fd.jpg a3d31ada3.jpg b96a1cb6f.jpg 6dea5a90e.jpg 4c9084955.jpg a8bd1fec0.jpg e12065e8d.jpg 875fe6c7b.jpg c5c1c74f9.jpg 176a92ea2.jpg f3f80b4db.jpg 2658f9202.jpg 6fda38ed1.jpg dd8bf442b.jpg 9f19b6330.jpg 38bc66e78.jpg 56a0478e0.jpg 4c058ee1c.jpg 58e4c9653.jpg 0b890243c.jpg dbdd975f3.jpg 80ed9720b.jpg 9184553ca.jpg
11,11,115.66666666666667,86.66666666666667,3,ffa36ad4c.jpg 17db77366.jpg dde85f1d2.jpg 001234638.jpg 945ea95c3.jpg 490bdd015.jpg bf75573cd.jpg cf9b62150.jpg c8655de00.jpg d02dc3d58.jpg 1c16966c7.jpg d33046bfd.jpg
12,12,172.5,123.5,2,001566f7c.jpg 712a5930f.jpg d66717dfd.jpg 9ce7301b7.jpg 6b5963479.jpg 56991aa51.jpg
13,13,16.0,16.5,2,182bb7072.jpg 0017c19d6.jpg 633dd398c.jpg 95613185b.jpg bf95dbe09.jpg ed7d81c22.jpg 5ff7eba57.jpg 5e13374ef.jpg f6bfe1d4f.jpg 258001e7f.jpg 27116be25.jpg 22d84e33b.jpg 147185598.jpg 06c2c10b1.jpg
14,14,282.0,78.0,1,bf6b88508.jpg bb339c53e.jpg fc556c88d.jpg 1856c129a.jpg 484c9196d.jpg 0018e5d6c.jpg
15,15,114.0,55.0,1,798da0bc2.jpg c5230af23.jpg cf9113985.jpg 6ac1144ef.jpg 5150d8a6f.jpg 0019fc4d8.jpg
16,16,20.0,14.333333333333334,3,001bcf222.jpg b60cd7528.jpg 208d78bf6.jpg d0109dfaf.jpg 00578738f.jpg 2d6caffd4.jpg 70dcb6c38.jpg b34b03955.jpg 5765f8255.jpg
17,17,137.0,122.5,2,2dba0b89c.jpg be8b898e5.jpg 001e418bc.jpg 4384601e8.jpg 1c4a4b3e4.jpg 400aeb091.jpg
18,18,21.0,17.0,2,34b799cbc.jpg 5861d9f58.jpg bce4bfd6d.jpg 91caa60a4.jpg 001eb2794.jpg 4556bc2ab.jpg a1eaaa929.jpg f118b3e13.jpg b481900fa.jpg b6e7ed8bd.jpg a2eebfe32.jpg 3414563c0.jpg e492c7313.jpg 2d4abed6d.jpg 649d3c863.jpg
19,19,328.5,83.0,2,e037f43d2.jpg fac560b2e.jpg c542aa5df.jpg 001ed8b9b.jpg b4e6b21a9.jpg 4e515e5c3.jpg
20,20,70.6969696969697,42.42424242424242,33,115f48984.jpg 344076f33.jpg 20abfa637.jpg 26fc89fbd.jpg 01ad35fcb.jpg a09a59f09.jpg 645c2642e.jpg 2db43c4ba.jpg 3da3b66bd.jpg eb50080a8.jpg 6b5d102cc.jpg ff70f19cf.jpg 85eeb4269.jpg 15b6f3223.jpg 6e71d4259.jpg 334f32de6.jpg 6e826a974.jpg ad42a2691.jpg 7a90ddde4.jpg 38705d60e.jpg e3a6563ee.jpg 209f69e03.jpg 09f040dc6.jpg 803d2401c.jpg 7bf1660e3.jpg 60c2f4e5e.jpg 8edf5a0b0.jpg dbe057506.jpg 51306d41d.jpg 26a077378.jpg 1ffa69995.jpg 68a7b2d4b.jpg ceaffe13d.jpg 31b6517fb.jpg 0e1f46804.jpg b946454c2.jpg 0588694f2.jpg 7f9e38ab2.jpg 1a383decd.jpg 2bfe4f8b1.jpg f02e405a0.jpg c4b252b9f.jpg 3dce18ae2.jpg 2a51b405e.jpg 0022f64e5.jpg 453f1f5e1.jpg 7402d7c96.jpg 0bf84523f.jpg 741d68f15.jpg 891129444.jpg
21,21,73.0,86.0,1,6024ac440.jpg 00269a792.jpg 624ed6b11.jpg 2df7ab79e.jpg c2498b4f7.jpg f1f58e593.jpg
22,22,83.0,65.0,1,3e734b932.jpg 0027854cc.jpg
23,23,123.0,119.0,1,00286e8b9.jpg 94fdc74f6.jpg
24,24,16.0,14.0,2,a979bc71a.jpg 6c0bf4007.jpg 1179e005f.jpg 3bb5ea136.jpg 002c62c03.jpg a77c811d7.jpg 2836267c1.jpg 43c451d52.jpg f60d6d554.jpg e4f3410ac.jpg 76170ebb2.jpg 41234f1cc.jpg
25,25,83.0,38.0,1,002d56570.jpg 843e60ab9.jpg bcfe93260.jpg 47e562fbe.jpg ccfef76bf.jpg 297aa9eaa.jpg 1ecc9189e.jpg c1418e8e4.jpg
26,26,215.0,101.5,2,002deeb16.jpg eb90da9b3.jpg f89a5859a.jpg 37fca4719.jpg 3dfca07cc.jpg 675219edc.jpg
27,27,117.0,67.0,3,de899dfa0.jpg 002fdcf51.jpg 7176ed649.jpg d101be967.jpg b4f349069.jpg 02e39612d.jpg df22cd03d.jpg 7d30ab15c.jpg 8b4aaefd4.jpg 9a5f50ed2.jpg a15c74a57.jpg 674f29c72.jpg
28,28,55.02597402597402,21.0,77,f7fcc4842.jpg b8abfda70.jpg d55ea008e.jpg 867279659.jpg 995f29310.jpg 90a8d3e95.jpg c04050631.jpg a27be4f8f.jpg 562cbbf59.jpg d712631ae.jpg 44aa95a25.jpg e690bbdd2.jpg 6b7daf48c.jpg ffa24d62d.jpg a9aa55088.jpg a4fa84dd8.jpg fb4f7bba9.jpg 47aecfd34.jpg ca864e6ec.jpg ea33c30e4.jpg 47cede9f5.jpg ad3015298.jpg 45713c51b.jpg 970da9f6c.jpg 80c4bd8ec.jpg 94c4b98d5.jpg 0eba89c17.jpg 9f0244cdf.jpg 9cf1bf0fa.jpg bd5450280.jpg 0c12ba190.jpg 43d99c733.jpg 44baf6936.jpg 3a3c1a23b.jpg 4c37d0db3.jpg 78a8df9ae.jpg 9ff206644.jpg 5da7d74ab.jpg e09c89274.jpg dd350b68c.jpg 943384c23.jpg 5d024a3b6.jpg 8d9d7df76.jpg 7f825e570.jpg ed970aebc.jpg 003520305.jpg 3021872f2.jpg 2fe63d991.jpg 541321bf1.jpg 82ffa7b19.jpg f87a3f556.jpg eb42eff7b.jpg ebbfac78e.jpg ba3d37cd1.jpg 074904f88.jpg 02c086331.jpg a0117044f.jpg d6cd7c10d.jpg d6bc1a321.jpg 391e62281.jpg ca692b16a.jpg 727253c93.jpg 9ea3267ce.jpg ec6367651.jpg d6d785919.jpg c5732ee9f.jpg bb326522b.jpg c571104c5.jpg 86320b891.jpg 28ff48658.jpg 6cab6d94c.jpg ed9bcfb61.jpg a2b4df779.jpg 75443d8ee.jpg
29,29,21.0,13.333333333333334,3,18b400b5c.jpg 7150274a1.jpg 1abd998f8.jpg 00371aa92.jpg 597343707.jpg 2f9b8e661.jpg 49811d5c9.jpg e0dc1558c.jpg 04d06cdf1.jpg 7c38db667.jpg 6341a8392.jpg 4df4377f7.jpg ae01f70d5.jpg 254f194ec.jpg bed41f595.jpg
30,30,24.0,21.8,5,5296f2e16.jpg e56e20c51.jpg 0038cbe45.jpg 380cc3797.jpg e4bbf1180.jpg c75981f95.jpg 6cb727ff2.jpg 725584497.jpg 3aa4b5fc4.jpg 50318193c.jpg a57a3f6cf.jpg 15da400d7.jpg a12434ae0.jpg 8e6ea5ff2.jpg 6a7a04971.jpg 3b1776d1a.jpg cf2213984.jpg 2abd945f3.jpg 51739eea7.jpg
31,31,38.891304347826086,31.652173913043477,92,a041bb885.jpg 6e092f878.jpg 90db44006.jpg c8910495a.jpg e382ab95b.jpg 9af39bdd5.jpg 47f8568e4.jpg 1abadbbc6.jpg 1eedd4172.jpg 2fbc90e52.jpg 3f602edf2.jpg e8dd5ec1b.jpg f215de2ce.jpg 003b48a9e.jpg a92e70b72.jpg 3ae18ee2f.jpg 2faf5a01f.jpg b8e22e17b.jpg 408296652.jpg ef0d68a62.jpg facfbfd88.jpg 98b6df2da.jpg fcf91ecb5.jpg a2263d600.jpg 63d9735d3.jpg 8224a4f80.jpg 5a27d19f3.jpg 2070ea3ca.jpg 92af9351e.jpg 9cb430600.jpg 526bebb92.jpg 227abf1d9.jpg 254e08680.jpg d6b59d78d.jpg 5f3952848.jpg 219215b61.jpg 90ac8de69.jpg 08c500536.jpg 7e19cab56.jpg 78154c42d.jpg 28bb6e919.jpg d49c5ebcb.jpg 727ed3840.jpg 5899be3c5.jpg 44cccd029.jpg 08f0d8a6d.jpg ae660fe07.jpg 2709a76f9.jpg c518f2ea2.jpg ea5b2e2c7.jpg 7fe0f3c74.jpg 6add86fa1.jpg 21919de05.jpg b3672e518.jpg 7898192ff.jpg 2e1252bec.jpg d273751b6.jpg b337f9d64.jpg 7243881f1.jpg 897dbe93c.jpg 09a91d6dd.jpg c88c2d44f.jpg 25d90d222.jpg 5a04bc10e.jpg d5589d8a8.jpg aa6dd2874.jpg 5757d8bbb.jpg 085e0487c.jpg 44e9ee869.jpg 9bccca4a6.jpg 3b9825847.jpg 9a548fe11.jpg a99d5e3b3.jpg f427269bf.jpg e89cace9b.jpg 30d0c8de2.jpg 1cf6b790d.jpg ba0cd98c3.jpg 4d76b780d.jpg 0ec5dbd9b.jpg f5ddbaff3.jpg 68cf539ed.jpg 9bcfa5f54.jpg fdb200512.jpg 3b20f90af.jpg a5a861478.jpg 27e95a70d.jpg 7a0ef32fb.jpg 3f33e9bea.jpg 6792670af.jpg 545129f58.jpg 4d65fb823.jpg ce272952d.jpg e122b11e2.jpg c4ec1c1f1.jpg e9ec8fdf4.jpg ea7c4ef18.jpg d79f8f768.jpg 4ff8c36ec.jpg 8df648d2a.jpg aad7af9e0.jpg 149f806bd.jpg fe816c582.jpg 4b6dfbe84.jpg 1c7d3fb32.jpg 057d78b28.jpg 7329756ba.jpg 1bd56fc57.jpg b1a536580.jpg 718bcbec5.jpg f617cc8d4.jpg 8df263cb7.jpg 33a108b58.jpg 107801c74.jpg 6c0f4b19b.jpg 18009fe5f.jpg dd7d80f89.jpg 515d0b851.jpg da5c3c5b5.jpg 827f4e01e.jpg 41688b61a.jpg 052bc532f.jpg 68335c171.jpg cc36cf02d.jpg 7c4aa734e.jpg d63d918be.jpg b39ba23cf.jpg 82f18b86f.jpg 44e8a9899.jpg e7d57adcb.jpg 734493eec.jpg 229d4b735.jpg d6da3c6c4.jpg 957152dbb.jpg 615d7e3c4.jpg 009eb0e0c.jpg 2b194349d.jpg 9a8687932.jpg a9d46adea.jpg be403dd83.jpg e98378b4f.jpg 50510a0fd.jpg 5715714e5.jpg 5f92de2d0.jpg aa4b0a321.jpg 7ce65f479.jpg 543d39900.jpg 646d868da.jpg 232fbb9af.jpg d0064ce72.jpg ce15eb560.jpg 33e959260.jpg b955e6189.jpg e6f55d963.jpg d6877ae19.jpg ef91fd157.jpg 59470dd99.jpg d87065319.jpg fc46f4ec0.jpg a031482a0.jpg 6eba91892.jpg 4bd582ca3.jpg 37ea30310.jpg eb1886768.jpg 826e86d81.jpg 5b8ea1274.jpg d93ae8255.jpg 0bf631128.jpg f617769bc.jpg 875d32a8d.jpg a2547daf8.jpg 8e9877587.jpg d7046ca53.jpg 395856098.jpg 8b20fdb23.jpg 92968f779.jpg af7744a0c.jpg ded619b5c.jpg ec86b4c7a.jpg 0510a3765.jpg a34ade0e7.jpg 890ae059d.jpg 9afe7fc9d.jpg 5c3524e11.jpg 0221587f9.jpg 90ace558b.jpg 327702b38.jpg 9e26e6fcb.jpg e0d32b563.jpg cf380173b.jpg fbc6cd327.jpg 56f626888.jpg 2ede2cb7f.jpg 8efd19e83.jpg 62c275f2d.jpg d99be8e76.jpg 23baa6f33.jpg b80232332.jpg 5d580dbe1.jpg 4c9524e49.jpg 9d12f0f2d.jpg 0d6041881.jpg 4e66656b3.jpg 91868706f.jpg 237ae75c3.jpg 4e640a4e0.jpg 540e6546e.jpg 1229ec7a9.jpg 75a616c2e.jpg f98b6bb8c.jpg a311cc1e8.jpg 7c1d1bf36.jpg 5c29df2f0.jpg 18c63910f.jpg 718669ca9.jpg 635a424e3.jpg a275b9660.jpg 96db61143.jpg c387cae4b.jpg 2140931ae.jpg fe2dcd957.jpg 2f09fcd53.jpg 556c9f4ec.jpg a6456166c.jpg 53be7e1e2.jpg
32,32,225.0,100.25,4,003d43308.jpg 0f5bf3420.jpg fa6d86256.jpg 19c4d0256.jpg 2d497507e.jpg 90bb821c9.jpg ee0a09f8f.jpg da83ba708.jpg 01caa731a.jpg 3cdddf641.jpg 9a4162f27.jpg 983a971e9.jpg e16bd2ebd.jpg dcb4cdf57.jpg
33,33,60.0,20.0,1,37e2381d7.jpg 2bf37816d.jpg 782e77f41.jpg 003e2c95d.jpg 908fa51a4.jpg
34,34,136.0,67.0,2,fcba0e360.jpg 0040cf4e9.jpg df49beb8e.jpg b72acfadd.jpg 5d3a5f5c8.jpg 97c603785.jpg 7ba81e72e.jpg e0c5cce1a.jpg
35,35,79.38888888888889,56.72222222222222,18,eba007374.jpg adce6fc0d.jpg 33b56e8f3.jpg b1d77b562.jpg 9006051ea.jpg 467d7c152.jpg b23c778fd.jpg 42c9d0ce0.jpg 1b3886915.jpg f25da561f.jpg d5d9f2fca.jpg 04d023cfc.jpg 004141855.jpg 0398efee0.jpg 19f7a193d.jpg 53db1e959.jpg aa901772f.jpg 200e4efe5.jpg fb2a50576.jpg f8dcd83c2.jpg f1aeda93b.jpg 3e8893232.jpg 6011a6a48.jpg 5f1027359.jpg 16e60b8b1.jpg 7d8f442ec.jpg 01fdbadc8.jpg ab6c43239.jpg fcbb561c3.jpg 55184168b.jpg 6f06e6eb6.jpg 75a0e6c1b.jpg 73cfd18ea.jpg 293ae8139.jpg 128cd664d.jpg 4353d2ed4.jpg 642676beb.jpg 29e5ac791.jpg 39447eb46.jpg d585f25a5.jpg 0f513f437.jpg af2e67f9e.jpg 0806dd199.jpg d947e650c.jpg ad5f20876.jpg 0d79b4513.jpg 45cca0cd4.jpg 100500800.jpg 406eba6e9.jpg 136234100.jpg b162ba906.jpg 95c37410c.jpg 37c7570c5.jpg
36,36,29.142857142857142,19.428571428571427,7,c09e4a13c.jpg e11e46754.jpg 1ee566913.jpg 692ea9936.jpg e6e1b1e6f.jpg d72c53086.jpg afbe21a56.jpg 5826a30a5.jpg a89f33618.jpg 5fc6249dc.jpg 004331bef.jpg df9631438.jpg b67f40e7b.jpg ac8f78e40.jpg a510bda28.jpg 18adcb95f.jpg 4fb79131e.jpg 097b622f4.jpg 95fe833a7.jpg ddeaf6dc8.jpg 634838fea.jpg 8959c7dac.jpg 27befafef.jpg c57b82b4e.jpg edbb39554.jpg ab70f1cf4.jpg a57e53b26.jpg a7e07a4e2.jpg b71ec3c5a.jpg eb0c6b833.jpg 76c35af48.jpg 2c4e7610b.jpg b0137a4a2.jpg 5989b3ae6.jpg a1aae22a2.jpg 6b20419ae.jpg eea57bcef.jpg 92e550c1b.jpg 8d5026b28.jpg d7df8ba74.jpg a527d7378.jpg 5c7ef6923.jpg d750ad662.jpg 65b4b2708.jpg c7625f62c.jpg
37,37,92.75,62.25,4,ec791c60f.jpg 0d5e3cc33.jpg dff287a9f.jpg 6575dc3aa.jpg badf7edc0.jpg 0046d5d83.jpg 8df020e26.jpg d7d56d819.jpg 65b3ca756.jpg 1f00a383e.jpg 631b89ef9.jpg 1f7153bd2.jpg 8eddbce12.jpg 5dc6637ad.jpg 87dc9f004.jpg
38,38,14.0,18.0,1,cf40bff0d.jpg dd41b79c8.jpg fd54a1983.jpg fef863ea2.jpg 6a1d3f858.jpg 4dcf88df4.jpg 00497c23d.jpg 294bb6f7d.jpg 11714a7aa.jpg
39,39,24.153846153846153,28.03846153846154,52,b2695c26c.jpg e2fa0a394.jpg 13468bcea.jpg 4e8cb5a48.jpg 797c33cb6.jpg 3d89beeee.jpg 3dfe3c0d4.jpg c268ce0a5.jpg 6ea4d1963.jpg 32c44a6da.jpg b413ff018.jpg 2db4d682e.jpg d7cf187e4.jpg f2eeb5b7f.jpg fea05211b.jpg c4809750b.jpg 8fed1b355.jpg 6afd12392.jpg 491e226bd.jpg 004bc7ae6.jpg 4d73392e0.jpg 06f4a8853.jpg 0efd60e89.jpg cb702ec1c.jpg 2103fe959.jpg 3d6aa8209.jpg a83ca3da1.jpg e4edc9e56.jpg 47466df18.jpg e21b4e0d9.jpg 410588692.jpg e93d2a673.jpg 6d50aa754.jpg 84ef5f014.jpg 08bed1da6.jpg c38a41843.jpg 75a92c6c4.jpg 1b47b5bf4.jpg c319b1ad0.jpg 9c59d1598.jpg 0c40bf610.jpg 9c0ad4ca5.jpg 13306d9ac.jpg 7e53f7760.jpg f215fe55d.jpg 9bd3052a6.jpg 37dd41ecf.jpg f19c81023.jpg 16d3fe42a.jpg 695459a6e.jpg 8a1fa162d.jpg 16b620c6d.jpg 7bf5a73ba.jpg 38af45d7f.jpg d721eadea.jpg a272f81ff.jpg 6baccb872.jpg fa5d005a1.jpg d2a2e625e.jpg d6e87ae23.jpg a1539c141.jpg c2576af24.jpg 5a8aa6b13.jpg b976b43ea.jpg 4f651c7f0.jpg 240a6cfe1.jpg ca803786e.jpg a5cc2a340.jpg 48eab6308.jpg 4f06e245e.jpg d883df112.jpg e12e2b571.jpg 6b2dbc7a7.jpg 1d7051dd9.jpg 0875bae08.jpg 49a2322bd.jpg 0f9c62b86.jpg 45f460faa.jpg ea79f40d7.jpg d65ebcc15.jpg bb4e8f565.jpg c3d6f7f42.jpg 81580c882.jpg 2b61ad5ee.jpg a0e46d4bc.jpg edb53d816.jpg 3a97e02c0.jpg 0ff3bba73.jpg 163b04b8b.jpg 8e255d52d.jpg 95d83c86f.jpg 09e183b5a.jpg 2d7694364.jpg a26f2255f.jpg 2c48e7658.jpg 119805741.jpg e18bd31ca.jpg f46975d53.jpg 4c3c1b115.jpg 32d95107e.jpg 4b39a70ef.jpg 84bda1fa3.jpg 3e69fcc7d.jpg 6c3d8f0c7.jpg f67e05b91.jpg f1af0069c.jpg 8f14a3be7.jpg 0e4298511.jpg ddb73d25d.jpg b51b52ac1.jpg 236dff385.jpg c6f11cf60.jpg fbc078158.jpg
40,40,27.0,13.0,1,02254cac5.jpg 004d7c73a.jpg a31a0ee07.jpg a2414bc9e.jpg 95d0d5d28.jpg b7a613b18.jpg 9a8cbec89.jpg
41,41,26.0,31.0,1,9da9ed2ab.jpg 004e68ede.jpg df4565eae.jpg 133979d24.jpg f1873c771.jpg a9e679119.jpg f02990772.jpg b58fce0ac.jpg 418d408fa.jpg
42,42,101.0,37.5,2,19ed110db.jpg 35acc6416.jpg aca2d3495.jpg c1cacbac3.jpg cee38257f.jpg 934a32faf.jpg 004e94ecb.jpg 246c50e32.jpg 6171d14ca.jpg 99971fd69.jpg 7136c42ac.jpg 746aa996c.jpg 1832594de.jpg 0093754d4.jpg cf192bee7.jpg
43,43,112.625,46.125,8,3a3e62fcf.jpg 1e7dfe843.jpg 3571fcb70.jpg 2e2396bd8.jpg 00552a73d.jpg 9039537bf.jpg 433a67d59.jpg ba131b806.jpg 433072c6f.jpg
44,44,215.0,67.0,1,6fc11762b.jpg 0d6dfd0c8.jpg 5d4c8d758.jpg 95385c9f5.jpg e36ea59f7.jpg 1d8f68e99.jpg 0b9ea26f0.jpg 1d2967a24.jpg 005883911.jpg
45,45,191.0,131.0,1,8d4378616.jpg 78b987b37.jpg 679da3927.jpg 005a7670a.jpg
46,46,86.0,109.0,1,005c8e121.jpg 7f6b0fb77.jpg a3b5f2da2.jpg 8e9064036.jpg 8181e0417.jpg 109557c2e.jpg
47,47,166.71428571428572,112.0,7,c1a40f62b.jpg ec3f4bcb8.jpg ae9b60645.jpg 59bb3dbed.jpg 005d6a820.jpg 2887cde5b.jpg 21d8b940c.jpg 9a8bb3a4f.jpg 796714ffd.jpg 17f01cfa7.jpg 16626b2ca.jpg
48,48,17.0,17.0,1,005f02549.jpg 92120571b.jpg 51afe3ff6.jpg 32b62bf76.jpg 91b5dc954.jpg 7153eebf2.jpg 1a3f39d28.jpg 96454286b.jpg
49,49,19.5,35.75,4,b5d067ba9.jpg a903eb506.jpg d8d1f1f2d.jpg b283b8ccb.jpg 8d5389406.jpg 403acf5c0.jpg 696965338.jpg bcd3f4c3a.jpg 0a87f3bd1.jpg 5ae8a36e7.jpg c24e3ba28.jpg 95e7a0973.jpg 5e7e13572.jpg af646380a.jpg 005faf88a.jpg 3e163c098.jpg b8d7b6291.jpg 6188dca08.jpg
50,50,159.0,44.0,1,84c5ba5e2.jpg 61ee85aa5.jpg 0060f6de0.jpg 7ab989731.jpg 6423fc772.jpg 7352cf02f.jpg
51,51,60.21739130434783,100.82608695652173,23,00640a1af.jpg 9b1367fb7.jpg ad5bd9bd0.jpg f9c5ec37c.jpg 26d403ec0.jpg 0f647b7b6.jpg 3d76efc18.jpg ca6976148.jpg f79b5c91b.jpg 09c54c3a7.jpg 7f87c721d.jpg a4329c9c1.jpg 996260018.jpg daa18ebc4.jpg cf7481c4d.jpg 09c7053f9.jpg b1fb1b4e9.jpg 7f570a8ec.jpg 41150fe77.jpg 619e3f7d3.jpg ecc850b4e.jpg 636c35534.jpg 6cf22d085.jpg 47c2f4dac.jpg da88539fb.jpg 750ef1aff.jpg 61212c69c.jpg b57f42b28.jpg 992338e26.jpg 46be341fc.jpg af968728d.jpg 44d40119e.jpg 4469e2ec6.jpg 31b97f7d5.jpg 2a35b2122.jpg dfe16c68d.jpg 6b9397637.jpg ed8607cef.jpg ee7b7182b.jpg 29da6b530.jpg 1e75d796b.jpg 98d0cca31.jpg c136a2d52.jpg e72fd939b.jpg 21c89d41e.jpg f4787b8f3.jpg
52,52,17.4,7.6,5,2214d5d9f.jpg 4a70b070a.jpg 20d7e60e1.jpg 7d69173a6.jpg 095559f6b.jpg 572a96e20.jpg 00c2c8539.jpg 47c7ea632.jpg d78ae1183.jpg 6a6fb601b.jpg 0064956d4.jpg b72454c62.jpg 0f880b88f.jpg bfd9ff1d1.jpg 5b9301583.jpg 6d245e3d3.jpg b8b0f54cb.jpg 715bc6ec2.jpg dffc8a614.jpg a61965af2.jpg d0cedf6ec.jpg a3e33b125.jpg 9868a54cd.jpg
53,53,19.666666666666668,17.333333333333332,3,9a59453e4.jpg 6f19ef126.jpg bc70a67d9.jpg a62288051.jpg 4bbb5d0ad.jpg cec74b8cb.jpg 2d0dbcbbb.jpg ac59fc5c1.jpg 7baa12a40.jpg 689eb763b.jpg 0067a8e04.jpg 21ac3106a.jpg
54,54,66.2,39.6,5,7a32971d4.jpg 28b660141.jpg d16070a53.jpg 19f30c05f.jpg c816e2908.jpg 0068b3804.jpg daac0dc17.jpg
55,55,32.0,44.666666666666664,3,9f6192719.jpg a67f6de3e.jpg b31f57728.jpg a97c4b5d5.jpg 79a518103.jpg cc9d63066.jpg 45971ad97.jpg c798183d2.jpg 006da0c7b.jpg 39ce9b405.jpg 42eb49472.jpg 8fc4dd67d.jpg 9cefe9015.jpg bc9bab774.jpg b491be2fe.jpg e44f3f177.jpg cabdc0c2b.jpg e0fbfead8.jpg
56,56,11.666666666666666,11.333333333333334,3,3bb776cc9.jpg 0e36fcd8d.jpg 0070fe317.jpg 32d7a4f67.jpg 01c559b28.jpg 3353b20d6.jpg 85a71ba66.jpg c28689535.jpg c60bf244f.jpg 8f77d5433.jpg fe6229cde.jpg e08a733bb.jpg bd46f9790.jpg ef936a661.jpg a0d91c6c2.jpg ccff1e355.jpg 33a72641b.jpg 6409b1b79.jpg d5c8acc1a.jpg 8524745f1.jpg 2d71ff4fc.jpg 9953cc6a3.jpg
57,57,122.0,69.0,1,217313096.jpg 86d56b6b7.jpg 5d51049a9.jpg d4a4a98ee.jpg 0074d6c72.jpg 3b4dda3a8.jpg aad165212.jpg 7a9405c46.jpg 36b785071.jpg
58,58,84.625,57.625,16,0b144c0f4.jpg bb57966a3.jpg 8be9ac54f.jpg 6f61b866b.jpg 276f787c6.jpg e3297b70c.jpg 89e23a5a2.jpg 007534159.jpg ee92f2578.jpg c01545c72.jpg af707f0d7.jpg 403427100.jpg 2acb6f93c.jpg 0d4cb5838.jpg 42eaf1d03.jpg a1f64b041.jpg c213b191c.jpg 41ccfe7e1.jpg
